address,slots,name,bikes,status,zip,id,lon,lat,stationType,addressNumber,nearbyStations,district
001 - Río Balsas-Río Sena,17,1 RIO BALSAS-RIO SENA,9,OPN,06500,1,-99.168051,19.433296,"BIKE,TPV",S/N,"2,3,85",CUA
002 - Río Guadalquivir - Río Balsas,5,2 RIO GUADALQUIVIR-RIO BALSAS,7,OPN,06500,2,-99.171695,19.431386,BIKE,S/N,"1,5",CUA
003 - Reforma - Insurgentes,7,3 REFORMA-INSURGENTES,28,OPN,06500,3,-99.158668,19.431655,"BIKE,TPV",S/N,"8,20,86",1
004 - Río Nilo - Río Panuco,12,4 RIO NILO-RIO PANUCO,3,OPN,06500,4,-99.171713,19.428309,BIKE,S/N,"5,8,9,10",CUA
005 - Río Pánuco Río Tiber,6,5 RIO PANUCO-RIO TIBER,6,OPN,06500,5,-99.169363,19.42972,BIKE,S/N,"2,4,9,10",CUA
006 - Río Pánuco - Río Sena,4,6 RIO PANUCO-RIO SENA,11,OPN,06500,6,-99.166959,19.430922,BIKE,S/N,"1,3,5,10",CUA
007 - Río Elba - Río Lerma,3,7 RIO ELBA-RIO LERMA,21,OPN,06500,7,-99.175166,19.425468,BIKE,S/N,"13,14,21,28",CUA
008 - Reforma - General Prim,8,8 REFORMA-GENERAL PRIM,3,OPN,06500,8,-99.158317,19.431141,BIKE,S/N,"3,20,86",TAB
009 - Río Guadalquivir - Río Lerma,23,9 RIO GUADALQUIVIR-RIO LERMA,1,OPN,06500,9,-99.169918,19.428009,BIKE,S/N,"4,5,8,16",CUA
010 - Reforma - Ramírez,4,10 REFORMA-RAMIREZ,32,OPN,06500,10,-99.154752,19.433321,"BIKE,TPV",S/N,26,TAB
011 - Río Amazonas - Rio Lerma,14,11 RIO AMAZONAS-RIO LERMA,1,OPN,06500,11,-99.163593,19.430992,BIKE,S/N,"3,12,19",CUA
012 - Río Lerma - Villalongin,14,12 RIO LERMA-VILLALONGIN,1,OPN,06500,12,-99.161597,19.432313,BIKE,S/N,"11,19,20,85",1
013 - Reforma - Rio Rodano,33,13 REFORMA-RIO RODANO,3,OPN,06500,13,-99.175558,19.423778,"BIKE,TPV",S/N,"7,14,21",1
014 - Reforma - Rio de Plata,9,14 REFORMA-RIO DE PLATA,27,OPN,06500,14,-99.173261,19.424768,BIKE,S/N,"13,21,22,28",CUA
015 - Reforma - Rio Mississippi,1,15 REFORMA-RIO MISSISSIPPI,23,OPN,06500,15,-99.171567,19.425477,"BIKE,TPV",S/N,"14,16,22,23",CUA
016 - Reforma - Rio Guadalquivir,0,16 REFORMA-RIO GUADALQUIVIR,36,OPN,06500,16,-99.169164,19.42653,BIKE,S/N,"9,23,24",1
017 - Reforma - Rio Tiber,24,17 REFORMA-RIO TIBER,3,OPN,06500,17,-99.167125,19.427501,"BIKE,TPV",S/N,"16,18,25",1
018 - Reforma - Rio Sena,17,18 REFORMA-RIO SENA,19,OPN,06500,18,-99.165543,19.42836,"BIKE,TPV",S/N,"17,25",CUA
019 - Reforma - Rio Neva,21,19 REFORMA-RIO NEVA,3,OPN,06500,19,-99.161675,19.43001,"BIKE,TPV",S/N,"12,20,27",1
020 - Reforma- Rio Tamesis,17,20 REFORMA-RIO TAMESIS,7,OPN,06500,20,-99.160206,19.430964,BIKE,S/N,"12,19,27",CUA
021 - Reforma - Lieja,11,21 REFORMA-LIEJA,15,OPN,06500,21,-99.175124,19.423317,"BIKE,TPV",S/N,"7,13,14,28",1
022 - Reforma - Manchester,14,22 REFORMA-MANCHESTER,21,OPN,06500,22,-99.172575,19.424375,"BIKE,TPV",S/N,"14,15,23,28",JUA
023 - Reforma - Praga,26,23 REFORMA-PRAGA,9,OPN,06500,23,-99.170414,19.425483,BIKE,S/N,"15,16,22",JUA
024 - Reforma- Varsovia,9,24 REFORMA-VARSOVIA,18,OPN,06500,24,-99.168992,19.426102,"BIKE,TPV",S/N,"16,23",JUA
025 - Reforma - Estocolmo,0,25 REFORMA-ESTOCOLMO,27,OPN,06500,25,-99.166946,19.426944,BIKE,S/N,"17,18",JUA
026 - Reforma - Versalles,4,26 REFORMA-VERSALLES,14,OPN,06500,26,-99.154726,19.432685,"BIKE,TPV",S/N,10,JUA
027 - Reforma- Havre,25,27 REFORMA-HAVRE,10,OPN,06500,27,-99.162614,19.429115,"BIKE,TPV",S/N,"19,26,31",JUA
028 - Toledo- Tokio,2,28 TOLEDO-TOKIO,25,OPN,06500,28,-99.172494,19.423542,BIKE,S/N,"14,21,22",JUA
029 - Reforma - Bucareli,13,29 REFORMA-BUCARELI,23,OPN,06500,29,-99.149939,19.434913,"BIKE,TPV",S/N,41,CEN
