domicilio,servicios-con-los-que-cuenta,capacidad-de-familias,capacidad-de-personas,nombre-del-municipio,region,entidad,nombre-del-enlace-regional,uso-del-inmueble,nombre-de-la-localidad,coordenada-y,nombre-del-inmueble,coordenada-x
CALLE FRANCISCO I MADERO SIN NUMERO CARRETERA A PASO DEL MACHO,"AGUA, LUZ, TELEFONO, BAÑO",25.0,100.0,ATOYAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,IGLESIA,ATOYAC,18.9187875062,IGLESIA SAN JOSE,-96.7738838456
CALLE FRANCISCO I MADERO SIN NUMERO CARRETERA A PASO DEL MACHO,"AGUA, LUZ, TELEFONO, BAÑO",12.0,50.0,ATOYAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,CASA CAMPESINO,ATOYAC,18.9182314712,CASA DEL CAMPESINO DE ATOYAC,-96.7736936093
"CALLE ALFONSO VIDALS SIN NUMERO, COLONIA HABITACIONAL SECCION 23.","AGUA, LUZ, TELEFONO, BAÑO",83.0,500.0,ATOYAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,IGLESIA,GENERAL MIGUEL ALEMAN (POTRERO NUEVO),18.8914322276,NUEVO TEMPLO,-96.7941248931
"AVENIDA ADOLFO LOPEZ MATEOS, ESQUINA PRIMERA CALLE, CUITLAHUAC SIN NUMERO","AGUA, LUZ, TELEFONO, BAÑO",50.0,200.0,ATOYAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,IGLESIA,GENERAL MIGUEL ALEMAN (POTRERO NUEVO),18.8957237124,IGLESIA CRISTO REY,-96.7911697591
AVENIDA 1 COLONIA CENTRO,"AGUA, LUZ, TELEFONO, BAÑO",75.0,300.0,CARRILLO PUERTO,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,AVENIDA 1 COLONIA CENTRO,CARRILLO PUERTO,18.7995284919,AUDITORIO MUNICIPAL,-96.5707429085
PALO AMARILLO,SIN DATO,25.0,100.0,CARRILLO PUERTO,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,PALO AMARILLO,CARRILLO PUERTO,18.8133333333,TELESECUNDARIA FRANCISCO ZARCO,-96.5216666667
PALMAR,SIN DATO,50.0,200.0,CARRILLO PUERTO,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,PALMAR,CARRILLO PUERTO,18.8030555556,AUDITORIO CNPR PALMAR,-96.6713888889
CALLE 1 ENTRE AVENIDA 1 Y 3,"AGUA, LUZ, SANITARIOS",25.0,100.0,CUICHAPA,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,IGLESIA,CUICHAPA,18.7731463828,IGLESIA,-96.8677161581
CALLE 1 ENTRE AVENIDA 3 Y 5,"AGUA, LUZ, SANITARIOS",25.0,100.0,CUICHAPA,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,CUICHAPA,18.7723072012,CASA EJIDAL,-96.8687899858
CALLE 8 ENTRE AVENIDA NIÑOS HEROES Y PROGRESO,"AGUA, LUZ, SANITARIOS",38.0,150.0,CUICHAPA,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,ESCUELA,PROVIDENCIA,18.7535976127,TELESECUNDARIA,-96.7679602347
AVENIDA INDEPENDIENTE FRENTE AL CAMPO,"AGUA, LUZ, SANITARIOS",35.0,150.0,CUICHAPA,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,PROVIDENCIA,18.7528342407,SINDICATO CTM SECCION 27,-96.7693922675
"CALLE 1, AVENIDAS 2 Y 4","AGUA, LUZ, SANITARIOS",25.0,100.0,CUITLAHUAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,CUITLAHUAC,18.8147175327,AUDITORIO MUNICIPAL,-96.7263917362
"AVENIDA 1, CALLE 13","AGUA, LUZ, SANITARIOS",10.0,50.0,CUITLAHUAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,CUITLAHUAC,18.814712349,DIF MUNICIPAL,-96.7263615942
"AVENIDA 5 , CALLE 6 Y 8","AGUA, LUZ, SANITARIOS",10.0,50.0,CUITLAHUAC,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,ESCUELA,CUITLAHUAC,18.8147244123,BIBLIOTECA MUNICIPAL,-96.726352459
AVENIDA 7 CALLE 3,"AGUA, LUZ, SANITARIOS",60.0,250.0,FORTIN,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,FORTIN,18.9079613322,UNIDAD DEPORTIVA,-97.0000646457
AVENIDA 7 CALLE 1,"AGUA, LUZ, SANITARIOS",72.0,300.0,FORTIN,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,FORTIN,18.9080476773,JUAN DE LA LUZ ENRIQUEZ,-96.9998397031
AVENIDA 7 CALLE 4,"AGUA, LUZ, SANITARIOS",60.0,250.0,FORTIN,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SALON,FORTIN,18.9081059639,CANDIDO AGUILAR,-97.000182556
DOMICILIO CONOCIDO,SIN DATO,10.0,40.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,SANMARTIN,18.7969444444,SIN NUMERO,-96.9319444444
DOMICILIO CONOCIDO,SIN DATO,8.0,30.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,TONALAPA,18.7930555556,SIN NUMERO,-96.9547222222
DOMICILIO CONOCIDO,SIN DATO,18.0,70.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,COLONIA ERSULA GALVAN,18.8102777778,SIN NUMERO,-96.96
DOMICILIO CONOCIDO,SIN DATO,10.0,40.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,NEXACAPA,18.8083333333,SIN NUMERO,-96.9727777778
DOMICILIO CONOCIDO,SIN DATO,13.0,50.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,AXALPA,18.7825,SIN NUMERO,-96.9455555556
DOMICILIO CONOCIDO,SIN DATO,10.0,40.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,SIN DATO,TEQUECHOLAPA,18.8016666667,SIN NUMERO,-96.9494444444
DOMICILIO CONOCIDO,"AGUA, LUZ, SANITARIOS",18.0,70.0,NARANJAL,CORDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,CARLOS H. MENDOZA AGUILAR,CASA PARTICULAR,XOCHITLA,18.7955555556,CASA PARTICULAR,-96.9644444444
AVENIDA RAYON ENTRE ZARAGOZA Y SANTOS DEGOLLADO COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",25.0,100.0,COSAMALOPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,COSAMALOAPAN DE CARPIO,18.3638089498,SALON DEL SINDICATO DE TELMEX,-95.8018954299
CALLE MELCHOR OCAMPO ENTRE CARRANZA Y NICOLAS BRAVO COLONIA CENTRO,"AGUA, LUZ, SANITARIOS",250.0,1000.0,COSAMALOPAN,COSAMALOAPAN,VERACRUZ DE IGNACIO DE LA LLAVE,FRANCISCO J. SANCHEZ FENTANES,SALON,COSAMALOAPAN DE CARPIO,18.3662393271,ANTIGUO JOTA ERRE,-95.7964706779
